#! FIELDS z.node-0 file.free uncertainty
#! SET sample_size 200000
#! SET effective_sample_size 64.1929
#! SET blocks_num 8
#! SET blocks_effective_num 2.3582
#! SET min_z.node-0 -10
#! SET max_z.node-0 10
#! SET nbins_z.node-0 1001
#! SET periodic_z.node-0 false
  -10.000000   1814.263551     4.172123
   -9.980000   1779.909563     4.172123
   -9.960000   1745.885383     4.172123
   -9.940000   1712.191010     4.172123
   -9.920000   1678.826441     4.172123
   -9.900000   1645.791677     4.172123
   -9.880000   1613.086716     4.172123
   -9.860000   1580.711556     4.172123
   -9.840000   1548.666195     4.172123
   -9.820000   1516.950632     4.172123
   -9.800000   1485.564864     4.172123
   -9.780000   1454.508891     4.172123
   -9.760000   1423.782709     4.172123
   -9.740000   1393.386316     4.172123
   -9.720000   1363.319711     4.172122
   -9.700000   1333.582890     4.172122
   -9.680000   1304.175851     4.172122
   -9.660000   1275.098590     4.172122
   -9.640000   1246.351105     4.172122
   -9.620000   1217.933393     4.172122
   -9.600000   1189.845448     4.172121
   -9.580000   1162.087269     4.172121
   -9.560000   1134.658850     4.172121
   -9.540000   1107.560188     4.172121
   -9.520000   1080.791277     4.172120
   -9.500000   1054.352113     4.172120
   -9.480000   1028.242690     4.172119
   -9.460000   1002.463002     4.172118
   -9.440000    977.013043     4.172118
   -9.420000    951.892807     4.172117
   -9.400000    927.102286     4.172116
   -9.380000    902.641473     4.172115
   -9.360000    878.510360     4.172113
   -9.340000    854.708938     4.172112
   -9.320000    831.237197     4.172110
   -9.300000    808.095128     4.172107
   -9.280000    785.282719     4.172105
   -9.260000    762.799960     4.172102
   -9.240000    740.646837     4.172099
   -9.220000    718.823338     4.172095
   -9.200000    697.329447     4.172090
   -9.180000    676.165150     4.172085
   -9.160000    655.330430     4.172079
   -9.140000    634.825269     4.172071
   -9.120000    614.649648     4.172063
   -9.100000    594.803547     4.172053
   -9.080000    575.286943     4.172042
   -9.060000    556.099812     4.172029
   -9.040000    537.242129     4.172014
   -9.020000    518.713867     4.171996
   -9.000000    500.514996     4.171976
   -8.980000    482.645483     4.171952
   -8.960000    465.105295     4.171924
   -8.940000    447.894394     4.171892
   -8.920000    431.012742     4.171855
   -8.900000    414.460294     4.171812
   -8.880000    398.237006     4.171761
   -8.860000    382.342828     4.171703
   -8.840000    366.777706     4.171635
   -8.820000    351.541584     4.171556
   -8.800000    336.634399     4.171465
   -8.780000    322.056086     4.171358
   -8.760000    307.806573     4.171235
   -8.740000    293.885785     4.171092
   -8.720000    280.293639     4.170926
   -8.700000    267.030047     4.170733
   -8.680000    254.094914     4.170510
   -8.660000    241.488140     4.170250
   -8.640000    229.209615     4.169949
   -8.620000    217.259223     4.169600
   -8.600000    205.636840     4.169196
   -8.580000    194.342333     4.168727
   -8.560000    183.375558     4.168185
   -8.540000    172.736363     4.167556
   -8.520000    162.424586     4.166828
   -8.500000    152.440052     4.165985
   -8.480000    142.782577     4.165009
   -8.460000    133.451962     4.163881
   -8.440000    124.447996     4.162576
   -8.420000    115.770454     4.161068
   -8.400000    107.419095     4.159325
   -8.380000     99.393662     4.157310
   -8.360000     91.693880     4.154983
   -8.340000     84.319453     4.152293
   -8.320000     77.270065     4.149187
   -8.300000     70.545373     4.145596
   -8.280000     64.145006     4.141445
   -8.260000     58.068560     4.136642
   -8.240000     52.315591     4.131080
   -8.220000     46.885609     4.124627
   -8.200000     41.778063     4.117124
   -8.180000     36.992331     4.108373
   -8.160000     32.527699     4.098121
   -8.140000     28.383329     4.086042
   -8.120000     24.558220     4.071693
   -8.100000     21.051143     4.054466
   -8.080000     17.860546     4.033492
   -8.060000     14.984406     4.007495
   -8.040000     12.419999     3.974561
   -8.020000     10.163534     3.931771
   -8.000000      8.209584     3.874651
   -7.980000      6.550214     3.796404
   -7.960000      5.173674     3.686980
   -7.940000      4.062589     3.532327
   -7.920000      3.191734     3.314795
   -7.900000      2.526013     3.016540
   -7.880000      2.020124     2.627936
   -7.860000      1.622243     2.159812
   -7.840000      1.283209     1.650738
   -7.820000      0.968848     1.157649
   -7.800000      0.668726     0.734308
   -7.780000      0.395546     0.427147
   -7.760000      0.175907     0.312218
   -7.740000      0.037821     0.392976
   -7.720000      0.000000     0.524095
   -7.700000      0.065291     0.646039
   -7.680000      0.219120     0.751652
   -7.660000      0.433936     0.843566
   -7.640000      0.679971     0.924805
   -7.620000      0.938589     0.997266
   -7.600000      1.209642     1.061401
   -7.580000      1.507189     1.115991
   -7.560000      1.847930     1.159108
   -7.540000      2.241294     1.189831
   -7.520000      2.686028     1.209203
   -7.500000      3.173208     1.219826
   -7.480000      3.693385     1.224554
   -7.460000      4.243891     1.225171
   -7.440000      4.831484     1.221866
   -7.420000      5.468355     1.213738
   -7.400000      6.164413     1.200085
   -7.380000      6.920467     1.181949
   -7.360000      7.724511     1.163232
   -7.340000      8.550807     1.150319
   -7.320000      9.361933     1.148715
   -7.300000     10.116818     1.157883
   -7.280000     10.787708     1.171290
   -7.260000     11.379154     1.183952
   -7.240000     11.931874     1.195425
   -7.220000     12.505410     1.204540
   -7.200000     13.154363     1.207472
